Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history
"No, have never worked",Unemployed,16 to 19,138705,9.2,50.8,44.1
"Yes, but not in the last 12 months",Unemployed,16 to 19,37790,22,13.8,6.3
"Yes, in the last 12 months",Unemployed,16 to 19,96495,25.4,35.3,12.7
"No, have never worked",Economically Inactive - Student,16 to 19,1291640,85.5,77.2,79.1
"Yes, but not in the last 12 months",Economically Inactive - Student,16 to 19,119600,69.5,7.1,25.3
"Yes, in the last 12 months",Economically Inactive - Student,16 to 19,261740,68.9,15.6,41.2
"No, have never worked",Economically Inactive - Looking After Family/Home,16 to 19,14210,0.9,66.1,2.1
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,16 to 19,4425,2.6,20.6,0.3
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,16 to 19,2860,0.8,13.3,0.9
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,16 to 19,13735,0.9,82,1.8
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,16 to 19,1905,1.1,11.4,0.2
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,16 to 19,1120,0.3,6.7,1.6
"No, have never worked",Economically Inactive - Retired,16 to 19,245,0,56.9,0
"Yes, but not in the last 12 months",Economically Inactive - Retired,16 to 19,135,0.1,31.4,0
"Yes, in the last 12 months",Economically Inactive - Retired,16 to 19,50,0,11.7,0
"No, have never worked",Economically Inactive - Other,16 to 19,51330,3.4,66.4,10.9
"Yes, but not in the last 12 months",Economically Inactive - Other,16 to 19,8175,4.8,10.6,1.6
"Yes, in the last 12 months",Economically Inactive - Other,16 to 19,17835,4.7,23.1,3.2
"No, have never worked",Unemployed,20 to 24,67010,13.6,20.8,21.3
"Yes, but not in the last 12 months",Unemployed,20 to 24,99355,23.7,30.8,16.6
"Yes, in the last 12 months",Unemployed,20 to 24,156085,31.5,48.4,20.5
"No, have never worked",Economically Inactive - Student,20 to 24,252490,51.4,35,15.5
