Employment History,Employment Status,Age,Population estimate,Percentage within age and employment history,Percentage within age and employment status,Percentage within employment status and employment history,Country,Employment status,Percentage within country and employment history,Percentage within country and employment status,Ethnicity,Percentage within ethnicity and employment history,Percentage within ethnicity and employment status,Religion,Percentage within religion and employment history,Percentage within religion and employment status,Sex,Percentage within sex and employment history,Percentage within sex and employment status,Percentage within age,Percentage within employment history,Percentage within employment status,Percentage within religion,Percentage within sex,Percentage Estimate,Title,"Unemployment rate (aged 16 and over, seasonally adjusted): %"
"No, have never worked",Unemployed,16 to 19,138705.0,9.2,50.8,44.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,16 to 19,37790.0,22.0,13.8,6.3,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,16 to 19,96495.0,25.4,35.3,12.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,16 to 19,1291640.0,85.5,77.2,79.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,16 to 19,119600.0,69.5,7.1,25.3,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,16 to 19,261740.0,68.9,15.6,41.2,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,16 to 19,14210.0,0.9,66.1,2.1,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,16 to 19,4425.0,2.6,20.6,0.3,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,16 to 19,2860.0,0.8,13.3,0.9,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,16 to 19,13735.0,0.9,82.0,1.8,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,16 to 19,1905.0,1.1,11.4,0.2,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,16 to 19,1120.0,0.3,6.7,1.6,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,16 to 19,245.0,0.0,56.9,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,16 to 19,135.0,0.1,31.4,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,16 to 19,50.0,0.0,11.7,0.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,16 to 19,51330.0,3.4,66.4,10.9,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,16 to 19,8175.0,4.8,10.6,1.6,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,16 to 19,17835.0,4.7,23.1,3.2,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,20 to 24,67010.0,13.6,20.8,21.3,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,20 to 24,99355.0,23.7,30.8,16.6,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,20 to 24,156085.0,31.5,48.4,20.5,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Student,20 to 24,252490.0,51.4,35.0,15.5,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Student,20 to 24,205060.0,48.8,28.4,43.5,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Student,20 to 24,264670.0,53.4,36.6,41.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Looking After Family/Home,20 to 24,45305.0,9.2,40.3,6.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Looking After Family/Home,20 to 24,49920.0,11.9,44.4,3.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Looking After Family/Home,20 to 24,17180.0,3.5,15.3,5.6,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Long-term Sick or Disabled,20 to 24,56090.0,11.4,68.4,7.4,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Long-term Sick or Disabled,20 to 24,21435.0,5.1,26.2,1.8,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Long-term Sick or Disabled,20 to 24,4435.0,0.9,5.4,6.5,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Retired,20 to 24,595.0,0.1,47.2,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Retired,20 to 24,480.0,0.1,38.0,0.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Retired,20 to 24,185.0,0.0,14.8,0.0,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Economically Inactive - Other,20 to 24,69535.0,14.2,41.8,14.7,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Economically Inactive - Other,20 to 24,43565.0,10.4,26.2,8.7,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Economically Inactive - Other,20 to 24,53170.0,10.7,32.0,9.7,,,,,,,,,,,,,,,,,,,,,
"No, have never worked",Unemployed,25 to 29,27180.0,10.5,13.8,8.6,,,,,,,,,,,,,,,,,,,,,
"Yes, but not in the last 12 months",Unemployed,25 to 29,72115.0,22.8,36.7,12.0,,,,,,,,,,,,,,,,,,,,,
"Yes, in the last 12 months",Unemployed,25 to 29,97355.0,40.2,49.5,12.8,,,,,,,,,,,,,,,,,,,,,
